pid session measure value
32 1 paf 10.75
32 1 cog 10.5
32 1 alpha_lower 8.7
32 1 alpha_upper 13.3
32 1 l_alpha_lower 8.7
32 1 l_alpha_upper 10.75
32 1 u_alpha_lower 10.75
32 1 u_alpha_upper 13.3
32 1 theta_lower 4.3
32 1 theta_upper 6.6
32 1 beta_lower 17.4
32 1 beta_upper 26.6
32 2 paf 11.25
32 2 cog 10.75
32 2 alpha_lower 9.1
32 2 alpha_upper 13.9
32 2 l_alpha_lower 9.1
32 2 l_alpha_upper 11.25
32 2 u_alpha_lower 11.25
32 2 u_alpha_upper 13.9
32 2 theta_lower 4.6
32 2 theta_upper 7.0
32 2 beta_lower 18.2
32 2 beta_upper 27.8
