pid session measure value
35 1 paf 12.5
35 1 cog 10.25
35 1 alpha_lower 10.1
35 1 alpha_upper 15.5
35 1 l_alpha_lower 10.1
35 1 l_alpha_upper 12.5
35 1 u_alpha_lower 12.5
35 1 u_alpha_upper 15.5
35 1 theta_lower 5.1
35 1 theta_upper 7.7
35 1 beta_lower 20.2
35 1 beta_upper 30.9
35 2 paf 12.25
35 2 cog 10.25
35 2 alpha_lower 9.9
35 2 alpha_upper 15.1
35 2 l_alpha_lower 9.9
35 2 l_alpha_upper 12.25
35 2 u_alpha_lower 12.25
35 2 u_alpha_upper 15.1
35 2 theta_lower 5.0
35 2 theta_upper 7.6
35 2 beta_lower 19.8
35 2 beta_upper 30.3
