pid session measure value
13 1 paf 10.75
13 1 cog 10.25
13 1 alpha_lower 8.7
13 1 alpha_upper 13.3
13 1 l_alpha_lower 8.7
13 1 l_alpha_upper 10.75
13 1 u_alpha_lower 10.75
13 1 u_alpha_upper 13.3
13 1 theta_lower 4.3
13 1 theta_upper 6.6
13 1 beta_lower 17.4
13 1 beta_upper 26.6
13 2 paf 10.0
13 2 cog 9.75
13 2 alpha_lower 8.1
13 2 alpha_upper 12.4
13 2 l_alpha_lower 8.1
13 2 l_alpha_upper 10.0
13 2 u_alpha_lower 10.0
13 2 u_alpha_upper 12.4
13 2 theta_lower 4.0
13 2 theta_upper 6.2
13 2 beta_lower 16.2
13 2 beta_upper 24.7
