pid session measure value
33 1 paf 9.25
33 1 cog 9.25
33 1 alpha_lower 7.5
33 1 alpha_upper 11.4
33 1 l_alpha_lower 7.5
33 1 l_alpha_upper 9.25
33 1 u_alpha_lower 9.25
33 1 u_alpha_upper 11.4
33 1 theta_lower 3.7
33 1 theta_upper 5.7
33 1 beta_lower 15.0
33 1 beta_upper 22.9
33 2 paf 9.75
33 2 cog 9.75
33 2 alpha_lower 7.9
33 2 alpha_upper 12.1
33 2 l_alpha_lower 7.9
33 2 l_alpha_upper 9.75
33 2 u_alpha_lower 9.75
33 2 u_alpha_upper 12.1
33 2 theta_lower 3.9
33 2 theta_upper 6.0
33 2 beta_lower 15.8
33 2 beta_upper 24.1
