pid session measure value
16 1 paf 9.5
16 1 cog 9.5
16 1 alpha_lower 7.7
16 1 alpha_upper 11.7
16 1 l_alpha_lower 7.7
16 1 l_alpha_upper 9.5
16 1 u_alpha_lower 9.5
16 1 u_alpha_upper 11.7
16 1 theta_lower 3.8
16 1 theta_upper 5.9
16 1 beta_lower 15.4
16 1 beta_upper 23.5
16 2 paf 9.75
16 2 cog 9.5
16 2 alpha_lower 7.9
16 2 alpha_upper 12.1
16 2 l_alpha_lower 7.9
16 2 l_alpha_upper 9.75
16 2 u_alpha_lower 9.75
16 2 u_alpha_upper 12.1
16 2 theta_lower 3.9
16 2 theta_upper 6.0
16 2 beta_lower 15.8
16 2 beta_upper 24.1
