pid session measure value
45 1 paf 11.25
45 1 cog 10.5
45 1 alpha_lower 9.1
45 1 alpha_upper 13.9
45 1 l_alpha_lower 9.1
45 1 l_alpha_upper 11.25
45 1 u_alpha_lower 11.25
45 1 u_alpha_upper 13.9
45 1 theta_lower 4.6
45 1 theta_upper 7.0
45 1 beta_lower 18.2
45 1 beta_upper 27.8
45 2 paf 11.5
45 2 cog 10.25
45 2 alpha_lower 9.3
45 2 alpha_upper 14.2
45 2 l_alpha_lower 9.3
45 2 l_alpha_upper 11.5
45 2 u_alpha_lower 11.5
45 2 u_alpha_upper 14.2
45 2 theta_lower 4.7
45 2 theta_upper 7.1
45 2 beta_lower 18.6
45 2 beta_upper 28.4
