pid session measure value
19 1 paf 7.0
19 1 cog 9.5
19 1 alpha_lower 5.7
19 1 alpha_upper 8.7
19 1 l_alpha_lower 5.7
19 1 l_alpha_upper 7.0
19 1 u_alpha_lower 7.0
19 1 u_alpha_upper 8.7
19 1 theta_lower 2.8
19 1 theta_upper 4.3
19 1 beta_lower 11.3
19 1 beta_upper 17.3
19 2 paf 9.25
19 2 cog 9.5
19 2 alpha_lower 7.5
19 2 alpha_upper 11.4
19 2 l_alpha_lower 7.5
19 2 l_alpha_upper 9.25
19 2 u_alpha_lower 9.25
19 2 u_alpha_upper 11.4
19 2 theta_lower 3.7
19 2 theta_upper 5.7
19 2 beta_lower 15.0
19 2 beta_upper 22.9
