pid session measure value
31 1 paf 9.25
31 1 cog 9.25
31 1 alpha_lower 7.5
31 1 alpha_upper 11.4
31 1 l_alpha_lower 7.5
31 1 l_alpha_upper 9.25
31 1 u_alpha_lower 9.25
31 1 u_alpha_upper 11.4
31 1 theta_lower 3.7
31 1 theta_upper 5.7
31 1 beta_lower 15.0
31 1 beta_upper 22.9
31 2 paf 9.75
31 2 cog 9.25
31 2 alpha_lower 7.9
31 2 alpha_upper 12.1
31 2 l_alpha_lower 7.9
31 2 l_alpha_upper 9.75
31 2 u_alpha_lower 9.75
31 2 u_alpha_upper 12.1
31 2 theta_lower 3.9
31 2 theta_upper 6.0
31 2 beta_lower 15.8
31 2 beta_upper 24.1
