pid session measure value
22 1 paf 10.0
22 1 cog 9.75
22 1 alpha_lower 8.1
22 1 alpha_upper 12.4
22 1 l_alpha_lower 8.1
22 1 l_alpha_upper 10.0
22 1 u_alpha_lower 10.0
22 1 u_alpha_upper 12.4
22 1 theta_lower 4.0
22 1 theta_upper 6.2
22 1 beta_lower 16.2
22 1 beta_upper 24.7
22 2 paf 10.75
22 2 cog 10.5
22 2 alpha_lower 8.7
22 2 alpha_upper 13.3
22 2 l_alpha_lower 8.7
22 2 l_alpha_upper 10.75
22 2 u_alpha_lower 10.75
22 2 u_alpha_upper 13.3
22 2 theta_lower 4.3
22 2 theta_upper 6.6
22 2 beta_lower 17.4
22 2 beta_upper 26.6
